recordtype,date,sortorder,region,entity,status,category,stage,source,target,value,value2,latitude,longitude
Flow,,18,,EMEA → Exception,Flow,Network,Value Chain,EMEA,Exception,82,,,
Flow,,19,,APAC → Exception,Flow,Network,Value Chain,APAC,Exception,98,,,
Portfolio,,1,North America,Home Intelligence,Active,Consumer,Portfolio,,,620,,,
Portfolio,,2,North America,Personal Systems,Active,Consumer,Portfolio,,,475,,,
Portfolio,,3,North America,Cloud Fabric,Active,Enterprise,Portfolio,,,710,,,
Portfolio,,4,North America,Industrial AI,Active,Enterprise,Portfolio,,,535,,,
Portfolio,,5,Latin America,Connected Living,Active,Consumer,Portfolio,,,255,,,
Portfolio,,6,Latin America,Operations Suite,Active,Enterprise,Portfolio,,,315,,,
Portfolio,,7,Latin America,Managed Analytics,Active,Services,Portfolio,,,225,,,
Portfolio,,8,EMEA,Smart Mobility,Active,Consumer,Portfolio,,,390,,,
Portfolio,,9,EMEA,Cyber Resilience,Active,Enterprise,Portfolio,,,565,,,
Portfolio,,10,EMEA,Data Platforms,Active,Enterprise,Portfolio,,,505,,,
Portfolio,,11,EMEA,Transformation,Active,Services,Portfolio,,,365,,,
Portfolio,,12,APAC,Digital Commerce,Active,Consumer,Portfolio,,,590,,,
Portfolio,,13,APAC,Personal Systems,Active,Consumer,Portfolio,,,450,,,
Portfolio,,14,APAC,Cloud Fabric,Active,Enterprise,Portfolio,,,685,,,
Portfolio,,15,APAC,Industrial AI,Active,Enterprise,Portfolio,,,640,,,
Portfolio,,16,APAC,Managed Analytics,Active,Services,Portfolio,,,425,,,
Portfolio,,17,APAC,Transformation,Active,Services,Portfolio,,,335,,,
Funnel,,1,,Signals Detected,Pipeline,Transformation,Signals Detected,,,1480,,,
Funnel,,2,,AI Qualified,Pipeline,Transformation,AI Qualified,,,1125,,,
Funnel,,3,,Executive Reviewed,Pipeline,Transformation,Executive Reviewed,,,790,,,
Funnel,,4,,Investment Approved,Pipeline,Transformation,Investment Approved,,,545,,,
Funnel,,5,,In Delivery,Pipeline,Transformation,In Delivery,,,372,,,
Funnel,,6,,Value Realized,Pipeline,Transformation,Value Realized,,,238,,,
Variance,,1,,Demand uplift,Positive,Demand uplift,Variance,,,46,,,
Variance,,2,,Price realization,Positive,Price realization,Variance,,,24,,,
Variance,,3,,Automation savings,Positive,Automation savings,Variance,,,39,,,
Variance,,4,,Foreign exchange,Negative,Foreign exchange,Variance,,,-18,,,
Variance,,5,,Capacity constraints,Negative,Capacity constraints,Variance,,,-31,,,
Variance,,6,,Service penalties,Negative,Service penalties,Variance,,,-12,,,
Variance,,7,,Portfolio mix,Positive,Portfolio mix,Variance,,,27,,,
RiskProfile,,84,Current,Current Operating Profile,Current,Enterprise Risk,Profile,,,78,74,81,69
RiskProfile,,97,Target,Target Operating Profile,Target,Enterprise Risk,Profile,,,94,92,95,96
RiskCell,,1,North America,North America · Cyber,Managed,Cyber,Risk Matrix,,,42,,,
RiskCell,,2,North America,North America · Capacity,Managed,Capacity,Risk Matrix,,,55,,,
RiskCell,,3,North America,North America · Supplier,Managed,Supplier,Risk Matrix,,,38,,,
RiskCell,,4,North America,North America · Compliance,Managed,Compliance,Risk Matrix,,,29,,,
RiskCell,,5,North America,North America · Demand,Watch,Demand,Risk Matrix,,,61,,,
RiskCell,,6,Latin America,Latin America · Cyber,Managed,Cyber,Risk Matrix,,,58,,,
RiskCell,,7,Latin America,Latin America · Capacity,Watch,Capacity,Risk Matrix,,,64,,,
RiskCell,,8,Latin America,Latin America · Supplier,Watch,Supplier,Risk Matrix,,,72,,,
RiskCell,,9,Latin America,Latin America · Compliance,Managed,Compliance,Risk Matrix,,,46,,,
RiskCell,,10,Latin America,Latin America · Demand,Watch,Demand,Risk Matrix,,,69,,,
RiskCell,,11,EMEA,EMEA · Cyber,Watch,Cyber,Risk Matrix,,,63,,,
RiskCell,,12,EMEA,EMEA · Capacity,Managed,Capacity,Risk Matrix,,,57,,,
RiskCell,,13,EMEA,EMEA · Supplier,Watch,Supplier,Risk Matrix,,,67,,,
RiskCell,,14,EMEA,EMEA · Compliance,Managed,Compliance,Risk Matrix,,,41,,,
RiskCell,,15,EMEA,EMEA · Demand,Managed,Demand,Risk Matrix,,,53,,,
RiskCell,,16,APAC,APAC · Cyber,Managed,Cyber,Risk Matrix,,,49,,,
RiskCell,,17,APAC,APAC · Capacity,Watch,Capacity,Risk Matrix,,,71,,,
RiskCell,,18,APAC,APAC · Supplier,Critical,Supplier,Risk Matrix,,,76,,,
RiskCell,,19,APAC,APAC · Compliance,Managed,Compliance,Risk Matrix,,,38,,,
RiskCell,,20,APAC,APAC · Demand,Watch,Demand,Risk Matrix,,,66,,,
Event,2026-08-04,1,EMEA,Rotterdam capacity rebalancing,Watch,Capacity,Shift 18% volume to Frankfurt,,,22,68,,
Event,2026-08-18,2,APAC,Shanghai supplier recovery,Critical,Supplier,Dual-source critical components,,,48,82,,
Event,2026-09-02,3,North America,New York resilience sprint,Critical,Cyber,Complete zero-trust cutover,,,35,79,,
Event,2026-09-16,4,Latin America,Mexico City carrier transition,Watch,Service,Activate alternate last-mile network,,,18,64,,
Event,2026-10-06,5,EMEA,Dubai compliance review,Critical,Compliance,Close cross-border control gaps,,,27,86,,
Event,2026-10-21,6,APAC,Sydney demand surge plan,Watch,Demand,Pre-position peak inventory,,,19,61,,
Event,2026-11-05,7,North America,Houston automation release,Online,Automation,Deploy autonomous planning wave 3,,,31,28,,
Event,2026-11-19,8,Latin America,São Paulo growth launch,Online,Growth,Open two regional spokes,,,25,41,,
Event,2026-12-03,9,EMEA,London portfolio reset,Online,Portfolio,Retire low-margin service bundles,,,23,33,,
Event,2026-12-15,10,APAC,Singapore control-tower upgrade,Online,Automation,Launch predictive exception engine,,,44,24,,
