recordtype,recordid,timestamp,timeorder,network,site,throughput,latency,packetloss,uptime,temperature,pressure,signal,alertcount,region,latitude,longitude
Reading,READ-032,2026-07-25T07:30:00Z,32,Edge,NODE-8,48.3,26.7,0.62,99.44,71.7,76.9,76.8,0,West,38.60441,-104.97242
Reading,READ-033,2026-07-25T08:00:00Z,33,Core,NODE-1,38.4,31.5,2.13,99.86,56.6,72.5,67.9,1,North,37.22889,-94.65788
Reading,READ-034,2026-07-25T09:30:00Z,34,Edge,NODE-2,40.3,26.7,1.97,98.77,56.6,77.1,67,0,East,34.76241,-118.50145
Reading,READ-035,2026-07-25T10:00:00Z,35,Backhaul,NODE-3,55.4,31.7,0.91,98.84,63.6,83.6,64.9,0,South,36.33994,-98.15614
Reading,READ-036,2026-07-25T11:30:00Z,36,Core,NODE-4,48.6,30,2.84,98.89,67.4,72.5,66.4,2,West,37.08735,-115.66906
Reading,READ-037,2026-07-25T12:00:00Z,37,Edge,NODE-5,60.2,24.3,2.08,99.26,60.6,74.6,85.7,1,North,39.8997,-112.38199
Reading,READ-038,2026-07-25T13:30:00Z,38,Backhaul,NODE-6,80,25.1,0.9,99.3,70,82.9,58.1,2,East,36.31422,-105.81312
Reading,READ-039,2026-07-25T14:00:00Z,39,Core,NODE-7,79.2,26.5,1.43,98.76,74.8,83.9,80.4,1,South,36.00651,-103.28089
Reading,READ-040,2026-07-25T15:30:00Z,40,Edge,NODE-8,98.7,25,2.96,98.8,57.8,69.6,69.2,2,West,36.46385,-111.04068
Reading,READ-041,2026-07-25T16:00:00Z,41,Core,NODE-1,106.8,23.6,0.05,99.81,58,83.4,82.9,1,North,37.99314,-92.16792
Reading,READ-042,2026-07-25T17:30:00Z,42,Edge,NODE-2,113.7,16.5,4.02,98.77,75.3,74.2,67.7,0,East,36.02763,-105.96249
Reading,READ-043,2026-07-25T18:00:00Z,43,Backhaul,NODE-3,112.8,17,4.31,99.29,61.9,87.8,87.1,2,South,43.33118,-101.89292
Reading,READ-044,2026-07-25T19:30:00Z,44,Core,NODE-4,113.3,17.6,2.06,99.94,64.6,74.2,58,3,West,34.78698,-112.67167
Reading,READ-045,2026-07-25T20:00:00Z,45,Edge,NODE-5,108.6,13.4,0.75,99.78,54.8,79.1,67.4,1,North,37.62336,-99.57791
Reading,READ-046,2026-07-25T21:30:00Z,46,Backhaul,NODE-6,107.4,11.3,1.67,99.64,55.4,70.9,87.8,3,East,35.79878,-109.24767
Reading,READ-047,2026-07-25T22:00:00Z,47,Core,NODE-7,89.5,16.2,1.48,99.68,70.7,77.5,80.4,2,South,39.46501,-100.45807
Reading,READ-048,2026-07-25T23:30:00Z,48,Edge,NODE-8,89.1,14.7,1.31,99.03,60,71,89.7,3,West,34.57819,-92.56699
